"","ACTIVITY_TREATMENT_UNIT_ID","OPENING_ID","AREA","SPECIES","NUMBER_PLANTED","SEEDLOT_NUMBER","PLANTING_DATE","REGION","DISTRICT","YEAR","BGC","Zone","Subzone"
"1",379616,14342,59.5,"BL",1600,NA,1991-06-01,"ROM","DMK",1991,"ESSFmv","ESSF","mv"
"2",253022,59313,22.5,"BA",555,35011,1998-09-20,"RSK","DKM",1998,"ICHmc","ICH","mc"
"3",827102,81491,23.6,"BA",9490,47454,2001-06-22,"RSK","DKM",2001,"CWHws","CWH","ws"
"4",827102,81491,23.6,"BA",1065,41424,2001-06-22,"RSK","DKM",2001,"CWHws","CWH","ws"
"5",866645,96042,15,"BL",19590,44927,2001-07-30,"RCB","DQU",2001,"ESSFwk","ESSF","wk"
"6",1695931,106209,21.2,"BL",9045,39428,2003-06-30,"ROM","DMK",2003,"ESSFmv","ESSF","mv"
"7",1847770,1071768,12.4,"BA",4590,43076,2005-06-27,"RSK","DKM",2005,"CWHws","CWH","ws"
"8",1847770,1071768,12.4,"BA",2475,8643,2005-06-27,"RSK","DKM",2005,"CWHws","CWH","ws"
"9",2709590,1421330,49.3,"BL",2520,47714,2011-07-15,"RSK","DSS",2011,"SBSmc","SBS","mc"
"10",2709590,1421330,49.3,"BL",13560,47714,2011-07-15,"RSK","DSS",2011,"SBSmc","SBS","mc"
"11",2709590,1421330,49.3,"BL",2490,47714,2011-07-15,"RSK","DSS",2011,"SBSmc","SBS","mc"
"12",3493256,1693155,11.4,"BL",2040,44993,2017-07-13,"RCB","DQU",2017,"SBSwk","SBS","wk"
"13",3493256,1693155,11.4,"BL",1080,44928,2017-07-13,"RCB","DQU",2017,"SBSwk","SBS","wk"
"14",716279,8351,36,"BL",8062,40408,1999-08-15,"RCB","DQU",1999,"ESSFwk","ESSF","wk"
"15",397615,28458,45.1,"BL",9140,35016,1995-05-01,"RSK","DSS",1995,"ICHmc","ICH","mc"
"16",397615,28458,45.1,"BL",6400,35018,1995-05-01,"RSK","DSS",1995,"ICHmc","ICH","mc"
"17",225169,52337,3.1,"BL",1320,43004,1998-09-15,"RSK","DKM",1998,"ICHmc","ICH","mc"
"18",-352340015,-352340000,33,"BA",38000,35026,1993-05-01,"RSK","DKM",1993,"CWHvm","CWH","vm"
"19",19697,1036,3.3,"BA",900,35563,1999-05-17,"RSK","DKM",1999,"CWHws","CWH","ws"
"20",407197,28763,40.4,"BL",50100,NA,1993-09-01,"RSK","DKM",1993,"ICHvc","ICH","vc"
"21",407426,28806,5.5,"BL",5920,40058,1999-06-01,"RSK","DKM",1999,"ICHvc","ICH","vc"
"22",768788,28812,30.5,"BL",5580,40023,2000-06-21,"RSK","DKM",2000,"ICHvc","ICH","vc"
"23",768788,28812,30.5,"BL",3900,43007,2000-06-21,"RSK","DKM",2000,"ICHvc","ICH","vc"
"24",768788,28812,30.5,"BL",3300,43101,2000-06-21,"RSK","DKM",2000,"ICHvc","ICH","vc"
"25",410251,44024,15.4,"BA",4050,32609,1998-06-01,"RSK","DKM",1998,"CWHws","CWH","ws"
"26",397165,52594,47.3,"BL",36800,39592,1997-06-01,"RSK","DSS",1997,"ICHmc","ICH","mc"
"27",2730118,59604,9.5,"BL",1040,30829,1999-07-22,"ROM","DMK",1999,"ESSFmv","ESSF","mv"
"28",2794816,1416411,3,"BL",165,47714,2012-06-27,"RSK","DND",2012,"SBSmc","SBS","mc"
"29",152641,-240220000,1.8,"BA",10,32638,1995-06-13,"RSK","DKM",1995,"CWHws","CWH","ws"
"30",397561,28446,31.5,"BL",7820,NA,1993-05-01,"RSK","DSS",1993,"ICHmc","ICH","mc"
"31",271964,62220,21.2,"BA",5590,45358,2001-09-05,"RSK","DKM",2001,"CWHvh","CWH","vh"
"32",412875,68365,13.7,"BA",370,40449,1998-09-01,"RSK","DKM",1998,"CWHvm","CWH","vm"
"33",412875,68365,13.7,"BA",5280,47460,1998-09-01,"RSK","DKM",1998,"CWHvm","CWH","vm"
"34",2132029,87758,49.1,"BL",7115,47450,2007-07-30,"RSK","DND",2007,"SBSmc","SBS","mc"
"35",2738051,1282750,8.9,"BL",3780,47714,2010-06-21,"RSK","DSS",2010,"SBSmc","SBS","mc"
"36",3205421,1393151,1.1,"BA",120,43070,2014-05-28,"RSK","DKM",2014,"CWHws","CWH","ws"
"37",3280168,1541118,21.7,"BL",9300,43001,2015-07-15,"RSK","DSS",2015,"ICHwc","ICH","wc"
"38",407899,28657,8.5,"BL",4455,40023,1999-07-01,"RSK","DKM",1999,"ICHmc","ICH","mc"
"39",408124,28699,32.5,"BA",1910,36055,1997-06-01,"RSK","DKM",1997,"ICHmc","ICH","mc"
"40",408124,28699,32.5,"BA",20000,35008,1997-06-01,"RSK","DKM",1997,"ICHmc","ICH","mc"
"41",401220,31264,12.3,"BL",2000,32366,1996-05-01,"RSK","DSS",1996,"ESSFmc","ESSF","mc"
"42",407933,28664,5,"BA",150,35008,1997-06-01,"RSK","DKM",1997,"ICHmc","ICH","mc"
"43",303173,66114,21,"BL",11745,35573,2001-08-22,"RSK","DSS",2001,"ESSFmc","ESSF","mc"
"44",2054741,1066018,10.7,"BL",3300,43010,2007-06-14,"RSK","DND",2007,"SBSmc","SBS","mc"
"45",2815435,1387512,4.3,"BL",340,47716,2012-06-11,"RSK","DND",2012,"SBSmc","SBS","mc"
"46",343049,79924,17.8,"BA",4860,43070,2001-06-10,"RSK","DKM",2001,"CWHws","CWH","ws"
"47",343049,79924,17.8,"BA",195,35560,2001-06-10,"RSK","DKM",2001,"CWHws","CWH","ws"
"48",2133088,1111797,12.9,"BL",6270,47970,2007-07-13,"ROM","DMK",2007,"SBSmk","SBS","mk"
"49",683643,53784,44.9,"BA",22140,47453,1999-06-01,"RSK","DKM",1999,"CWHws","CWH","ws"
"50",289460,68343,19.2,"BA",9855,35574,2001-06-29,"RSK","DSS",2001,"ICHmc","ICH","mc"
"51",410200,36613,24.7,"BA",9710,34989,1998-05-01,"RSK","DKM",1998,"CWHws","CWH","ws"
"52",410200,36613,24.7,"BA",5625,36024,1998-05-01,"RSK","DKM",1998,"CWHws","CWH","ws"
"53",410200,36613,24.7,"BA",270,34988,1998-05-01,"RSK","DKM",1998,"CWHws","CWH","ws"
"54",507236,54036,11.6,"BL",4657,30823,1997-06-01,"ROM","DVA",1997,"SBSwk","SBS","wk"
"55",731563,64244,1.4,"BL",875,32367,2000-06-01,"RSK","DSS",2000,"ESSFmc","ESSF","mc"
"56",506870,34674,24.6,"BL",8100,30823,1997-06-01,"ROM","DVA",1997,"SBSmk","SBS","mk"
"57",412862,64919,28.9,"BA",780,39585,1999-05-01,"RSK","DKM",1999,"ICHmc","ICH","mc"
"58",412862,64919,28.9,"BL",960,47479,1999-05-01,"RSK","DKM",1999,"ICHmc","ICH","mc"
"59",412862,64919,28.9,"BL",5475,47480,1999-05-01,"RSK","DKM",1999,"ICHmc","ICH","mc"
"60",412862,64919,28.9,"BL",575,39582,1999-05-01,"RSK","DKM",1999,"ICHmc","ICH","mc"
"61",729688,64919,8.1,"BL",6110,39590,2000-06-01,"RSK","DKM",2000,"ICHmc","ICH","mc"
"62",934922,102525,1.1,"BL",440,32366,2002-06-01,"RSK","DSS",2002,"SBSmc","SBS","mc"
"63",398815,16653,52.8,"BA",19040,35006,1994-06-01,"RSK","DSS",1994,"ICHmc","ICH","mc"
